N,mae_median,mae_p25,mae_p75,ks_median,ks_p25,ks_p75,wasserstein_median,wasserstein_p25,wasserstein_p75,bottom_decile_median,bottom_decile_p25,bottom_decile_p75
10,0.0959588784699807,0.0632716049382716,0.1250657013396375,0.2666666666666667,0.25,0.3181818181818182,0.0846732467470958,0.0557578782646307,0.1019417475728155,0.9333333333333332,0.9,0.975
20,0.0531092935155586,0.0428326102167676,0.076052735286075,0.2272727272727273,0.2,0.25,0.0380287833126375,0.0352692868871972,0.0635686295943693,0.95,0.9090909090909092,1.0
30,0.0409878758028962,0.033285371874005876,0.062201850734809876,0.19999999999999996,0.16554054054054046,0.25,0.0359699274274955,0.02528508243818945,0.054933817033409375,0.9871794871794872,0.9090909090909092,1.0
50,0.0332623526172967,0.0248212325598174,0.0525677677451007,0.1999999999999999,0.140625,0.2272727272727272,0.0283762076511066,0.0212177621493497,0.0447254039192419,1.0,0.975,1.0
75,0.024100099275229298,0.020006259976834376,0.0258727826499517,0.1463068181818182,0.13378378378378375,0.21935483870967737,0.01886403717596965,0.017032128687174623,0.023371859732561725,1.0,1.0,1.0
100,0.020265835076545897,0.01634316120463875,0.023976070529423223,0.1193181818181818,0.10842483108108107,0.1666666666666666,0.0173418283105091,0.013794661256027425,0.022775734026308773,1.0,1.0,1.0
